Type,Issue ,Resolution
FTR,File from Upstream Application is not reaching the downstream application folder.,FTR configuration (EDI) was not updated in the downstream application post informatica migration. The config was updated to resolve this issue.
FTR,Hyperion Essbase script was creating the file in source folder but failed to push it to the target folder.,2 jobs were creating 2 files at the same time which is creating deadlock while pushing the file in FTR. Jobs were rescheduled to fix this issue.
FTR,Upstream to downstream FTR  failed due to Keys.,"SSH keys mismatch, dev team sent the public SSH keys which FTR team updated at their end"
FTR,FTR data transfer delay due to API rate limiting.,Investigating aggregation problem; refining financial forecasts.
FTR,Inaccurate FTR data aggregation affecting financial forecasts.,Adjusting API usage; resuming transfer when limits are lifted.
FTR,FTR data transformation error affecting investment portfolio.,Rectifying transformation error; ensuring accurate portfolio data.
FTR,FTR data transfer interrupted by database connectivity issue.,Addressing database connectivity issue; resuming interrupted transfer.
FTR,FTR data aggregation discrepancy affecting business insights.,Investigating aggregation discrepancy; refining business insights.
FTR,FTR data transfer delay due to data transformation issue.,Investigating data transformation issue; resuming transfer after resolution.
FTR,FTR data validation error leading to customer concern.,Addressing validation error; addressing customer feedback.
FTR,FTR data transfer failure due to target system unavailability.,Monitoring target system status; initiating transfer when resolved.
FTR,FTR data aggregation error affecting financial analysis.,Investigating aggregation error; refining financial analysis.
FTR,FTR data transfer interrupted by network security breach.,Addressing security breach; resuming interrupted transfer.
FTR,FTR data transformation error affecting trade settlement.,Rectifying transformation error; ensuring accurate trade settlement.
FTR,FTR data transfer delay due to data mapping issue.,Investigating data mapping issue; resuming transfer after resolution
FTR,FTR data validation error causing customer frustration.,Addressing validation error; resolving customer concerns.
FTR,FTR data transfer failure due to system unavailability.,Monitoring system status; initiating transfer when resolved.
FTR,FTR data aggregation problem affecting financial insights.,Investigating aggregation problem; improving financial insights.
FTR,FTR data transfer delay due to data transformation glitch.,Investigating data transformation problem; resuming transfer after resolution.
FTR,FTR data validation issue affecting financial reporting.,Rectifying validation issue; ensuring accurate financial reporting.
FTR,FTR data transfer failure due to incorrect data version.,Verifying data version compatibility; restarting data transfer.
FTR,Transformation issue affecting fee calculations.,Reviewing transformation logic; ensuring accurate fee calculations.
FTR,FTR data transfer delay due to API downtime.,Monitoring API status; resuming data transfer when operational.
FTR,Files were created in upstream but 0 kb files were sent to downstream., Autosys team corrected the connection at autosys server end  to Fix it.
Essbase,OPMN Services are down in Hyperion Essbase server,Essbase is not accessible. Windows team restarted the services to fix it
Essbase,Essbase server switched from Primary to backup node which is not configured.,"Essbase is not accessible, Windows team needs to switch the instance back to resolve the issue."
Essbase,Unable to connect to Essbase server.,"Checked network settings and firewall rules, ensured Essbase server is up and running."
Essbase,"Essbase calculation script failing with ""Member not found"" error.","Reviewed the calculation script for member references, corrected the syntax, and re-ran the script."
Essbase,"Error while loading data into Essbase cube, ""Data load failed - Invalid intersection.""","Identified the data source causing the issue, fixed data formatting, and reloaded successfully."
Essbase,Slow query performance in Essbase reports.,"Analyzed query design, added necessary indexes to improve performance, and optimized report layout."
Essbase,Essbase database crashes randomly with no apparent reason.,"Reviewed system logs, identified memory leaks, and applied relevant patches to stabilize the system."
Essbase,Users unable to retrieve accurate data due to Essbase cube not being refreshed.,Checked and adjusted the refresh schedule to ensure data is updated at appropriate intervals.
Essbase,"Received ""Maximum number of connections reached"" error in Essbase.",Adjusted the maximum connection settings in Essbase configuration to accommodate increased load.
Essbase,Essbase outline changes not reflecting in reports.,"Ensured outline synchronization and data dictionary update, then verified report connectivity."
Essbase,Unable to start Essbase Administration Server.,"Checked system services, identified conflicting processes, and restarted the server after resolving conflicts."
Essbase,Essbase security changes not taking effect.,"Reviewed user and group permissions, checked shared services configuration, and synchronized security settings."
Essbase,Essbase server fails to start.,"Reviewed server logs, identified missing configuration file, and restored it from backup."
Essbase,Calculation script produces incorrect results.,"Checked formulae for errors, found missing parentheses, and corrected the script."
Essbase,Essbase cube data not updated after ETL process.," Examined ETL workflow, identified failed job, and reconfigured it to ensure successful data loading."
Essbase,"Error ""Cannot load data - Member not found.""","Reviewed data mapping, corrected member references, and reloaded data."
Essbase,Poor performance in Essbase retrieval operations.,"Analyzed query design, tuned server settings, and added relevant indexes to optimize performance."
Essbase,Unable to establish connection to Essbase from client.,"Checked network connectivity, ensured proper port configuration, and verified firewall settings."
Essbase,Essbase crashes during data load.,"Monitored server memory usage, increased memory allocation, and optimized data load process."
Essbase,Users experience intermittent disconnects from Essbase.,"Investigated network stability, upgraded network infrastructure, and applied recommended patches."
Essbase,Essbase Web interface not accessible.,"Checked Web server status, identified misconfigured virtual directory, and corrected the configuration."
Essbase,Essbase report generation schedule not functioning as intended.,"Reviewed job scheduler settings, corrected cron expressions, and ensured consistent and accurate report generation."
Essbase,Essbase config file was corrupted,Essbase server was unreachable. Restore the config file from the backup to fix the issue
Database,Servers are not accessible due to Diskspace issue,Clean the unwanted large files/logs manually to increase the freespace to fix the issue.
Database,Treatments are getting failed as no space in Temp DB,Freed Tempdb space to fix the incident.
Database,Treatments are getting failed in Database as Tablespace is full.,Added more spaceinto the filesystem by DBA team to resolve the issue
Database,Informatica is down due to DB issue,Db password was expired and reactivation the issue was resolved.
Database,Application stopped working after DB release,While performing the Changes Dba misunderstood the requirement and decomissioned one active service by mistake. Service was restored by DBA and listeners were restarted to fix this.
Database,Application is not accessible due to disk crash,Restore the database with backup to fix this issue
Database,Unable to connect to the database server,"Verified network connectivity, checked firewall settings, and confirmed correct database server address."
Database,"Database query running indefinitely, affecting performance.","Reviewed query execution plan, added necessary indexes, and optimized the query for faster performance."
Database,"Error ""Table does not exist"" when attempting to access a table.","Checked schema spelling, confirmed table existence, and ensured the correct schema is being accessed."
